,Modelo,Motorizacion,Categoria,MTMA_Kg,Consumo_electrico_kWh/10km,Potencia_electrica_kW,Autonomia_electrica_km,Capacidad_bateria_kWh,Consumo Mínimo,Consumo Máximo,Emisiones Mínimo,Emisiones Máximo
58,Audi Q4 Sportback e-tron 45 210 KW (282CV) Advanced MY24,Eléctricos puros,M1,2660.0,16.1,210.0,548.0,77.0,15.8,17.6,0.0,0.0
59,Audi Q4 Sportback e-tron 45 210 KW (282CV) Black line MY24,Eléctricos puros,M1,2660.0,16.5,210.0,538.0,77.0,16.1,18.6,0.0,0.0
60,Audi Q4 Sportback e-tron 45 210 KW (282CV) S line MY24,Eléctricos puros,M1,2660.0,16.4,210.0,541.0,77.0,16.1,17.5,0.0,0.0
61,Audi Q4 Sportback e-tron 50 quattro 220 KW (299 CV) Advanced/ S line/Black line MY22,Eléctricos puros,M1,2475.0,17.7,220.0,497.0,76.6,17.6,21.0,0.0,0.0
62,Audi Q4 Sportback e-tron 50 quattro 220 KW (299 CV) Advanced/ S line/Black line MY23,Eléctricos puros,M1,2475.0,17.1,220.0,512.0,76.6,16.8,19.7,0.0,0.0
63,Audi Q4 Sportback e-tron 50 quattro 220 KW (299 CV) Advanced/ S line/Black line MY24,Eléctricos puros,M1,2475.0,17.1,220.0,519.0,76.6,16.8,18.5,0.0,0.0
64,Audi Q4 Sportback e-tron 55 quattro 250 KW (335CV) Advanced MY24,Eléctricos puros,M1,2750.0,16.6,250.0,527.0,77.0,16.4,18.0,0.0,0.0
65,Audi Q4 Sportback e-tron 55 quattro 250 KW (335CV) Black line MY24,Eléctricos puros,M1,2750.0,17.0,250.0,518.0,77.0,16.6,18.9,0.0,0.0
66,Audi Q4 Sportback e-tron 55 quattro 250 KW (335CV) S line MY24,Eléctricos puros,M1,2750.0,16.9,250.0,521.0,77.0,16.6,18.0,0.0,0.0
67,"Audi Q4 Sportback Genuine edition 45 e-tron 210,00 kW 77,0 kWh",Eléctricos puros,M1,2660.0,16.4,210.0,541.0,77.0,0.0,0.0,0.0,0.0
68,Audi Q5 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel Advanced MY23,Híbridos enchufables,M1,2660.0,22.0,100.0,62.0,17.9,22.0,23.3,35.0,42.0
69,Audi Q5 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel Advanced MY24,Híbridos enchufables,M1,2660.0,22.0,100.0,62.0,17.9,22.0,23.3,35.0,42.0
70,Audi Q5 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel S line/Black line MY23,Híbridos enchufables,M1,2660.0,22.7,100.0,59.0,17.9,22.5,23.3,38.0,42.0
71,Audi Q5 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel S line/Black line MY24,Híbridos enchufables,M1,2660.0,22.7,100.0,59.0,17.9,22.5,23.3,38.0,42.0
72,Audi Q5 55 TFSIe quattro-ultra 270 kW (367 CV)* S tronic 7 vel. S line/Black line MY23,Híbridos enchufables,M1,2660.0,22.7,100.0,59.0,17.9,22.5,23.3,38.0,42.0
73,Audi Q5 55 TFSIe quattro-ultra 270 kW (367 CV)* S tronic 7 vel. S line/Black line MY24,Híbridos enchufables,M1,2660.0,22.7,100.0,59.0,17.9,22.5,23.3,38.0,42.0
74,Audi Q5 Sportback 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel. Advanced MY23,Híbridos enchufables,M1,2660.0,22.1,100.0,61.0,17.9,22.1,23.4,36.0,42.0
75,Audi Q5 Sportback 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel. Advanced MY24,Híbridos enchufables,M1,2660.0,22.1,100.0,61.0,17.9,22.1,23.4,36.0,42.0
76,Audi Q5 Sportback 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel. S line/Black line MY23,Híbridos enchufables,M1,2660.0,23.0,100.0,58.0,17.9,22.7,23.4,39.0,42.0
77,Audi Q5 Sportback 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel. S line/Black line MY24,Híbridos enchufables,M1,2660.0,23.0,100.0,58.0,17.9,22.7,23.4,39.0,42.0
78,Audi Q5 Sportback 55 TFSIe quattro-ultra 270 kW (367 CV) S tronic 7 vel. S line/Black line MY23,Híbridos enchufables,M1,2660.0,23.0,100.0,58.0,17.9,22.7,23.4,39.0,42.0
79,Audi Q5 Sportback 55 TFSIe quattro-ultra 270 kW (367 CV) S tronic 7 vel. S line/Black line MY24,Híbridos enchufables,M1,2660.0,23.0,100.0,58.0,17.9,22.7,23.4,39.0,42.0
80,Audi Q7 55 TFSI e quattro 280 kW (381 CV) tiptronic 8 vel. MY21,Híbridos enchufables,M1,3025.0,236.0,100.0,47.0,17.3,2.6,3.2,58.0,72.0
81,Audi Q7 55 TFSI e quattro 280 kW (381 CV) tiptronic 8 vel. S line/Black line MY21,Híbridos enchufables,M1,3035.0,239.0,100.0,46.0,17.3,2.7,2.7,61.0,62.0
82,Audi Q7 55 TFSIe quattro 280 kW (381 CV)* tiptronic 8 vel. Básico MY22,Híbridos enchufables,M1,3025.0,23.5,100.0,47.0,14.3,2.6,2.6,58.0,58.0
83,Audi Q7 55 TFSIe quattro 280 kW (381 CV)* tiptronic 8 vel. Básico MY23,Híbridos enchufables,M1,3025.0,23.6,105.0,54.0,17.9,2.0,24.0,46.0,51.0
84,Audi Q7 55 TFSIe quattro 280 kW (381 CV)* tiptronic 8 vel. S line+ plus/Black line + Plus MY23,Híbridos enchufables,M1,3035.0,23.6,105.0,54.0,17.9,2.1,24.0,47.0,52.0
85,Audi Q7 55 TFSIe quattro 280 kW (381 CV)* tiptronic 8 vel. Sline+plus/Blackline+Plus MY22,Híbridos enchufables,M1,3035.0,23.6,100.0,47.0,14.3,2.6,2.7,58.0,61.0
86,Audi Q7 60 TFSI e quattro 335 kW (456 CV) tiptronic 8 vel. Competition MY21,Híbridos enchufables,M1,3145.0,244.0,94.0,42.0,17.3,3.2,3.4,73.0,77.0
87,Audi Q7 60 TFSI e quattro 340 kW (462 CV) tiptronic 8 vel. S line MY21,Híbridos enchufables,M1,3035.0,239.0,100.0,46.0,17.3,2.6,2.9,59.0,66.0
88,Audi Q7 60 TFSIe quattro 340 kW (462 CV) Tiptonic 8 vel. S line + Plus/ Black line Plus MY23,Híbridos enchufables,M1,3035.0,23.4,105.0,55.0,17.9,2.1,24.0,47.0,52.0
89,Audi Q8 55 TFSIe quattro 280 kW (381 CV) tiptronic 8 vel. Básico+ S line plus/Black line Plus MY23,Híbridos enchufables,M1,3045.0,24.0,105.0,52.0,17.9,24.0,25.2,51.0,60.0
90,Audi Q8 55 TFSIe quattro 280 kW (381 CV)* tiptronic 8 vel. Básico/Sline+Plus/Blackline+Plus MY22,Híbridos enchufables,M1,3055.0,24.0,100.0,45.0,14.4,2.7,3.0,62.0,68.0
91,Audi Q8 60 TFSIe quattro 340 kW (462 CV) tiptronic 8 vel. S line Plus/Black line Plus MY23,Híbridos enchufables,M1,3055.0,24.0,105.0,52.0,17.9,2.3,25.0,52.0,58.0
92,Audi Q8 60 TFSIe quattro 340 kW (462 CV)* tiptronic 8 vel. Sline+Plus/BlacklinePlus MY22,Híbridos enchufables,M1,3055.0,24.5,100.0,45.0,14.4,2.9,3.0,65.0,69.0
93,Audi Q8 e-tron 50 quattro 250 kW Advanced/ S line MY23,Eléctricos puros,M1,3170.0,20.5,250.0,483.0,89.0,20.3,23.9,0.0,0.0
94,Audi Q8 e-tron 50 quattro 250 kW Advanced/ S line MY24,Eléctricos puros,M1,3170.0,20.5,250.0,487.0,89.0,20.3,23.9,0.0,0.0
95,Audi Q8 e-tron 55 quattro 300 kW Advanced/ S line MY23,Eléctricos puros,M1,3180.0,21.0,300.0,571.0,106.0,20.8,24.4,0.0,0.0
96,Audi Q8 e-tron 55 quattro 300 kW Advanced/ S line MY24,Eléctricos puros,M1,3180.0,21.0,300.0,576.0,106.0,20.8,24.4,0.0,0.0
97,Audi Q8 e-tron Sportback 50 quattro 250 kW Advanced/ S line MY23,Eléctricos puros,M1,3180.0,19.9,250.0,497.0,89.0,19.7,23.7,0.0,0.0
98,Audi Q8 e-tron Sportback 50 quattro 250 kW Advanced/ S line MY24,Eléctricos puros,M1,3180.0,19.9,250.0,497.0,89.0,19.7,23.7,0.0,0.0
99,Audi Q8 e-tron Sportback 55 quattro 300 kW Advanced/ S line MY23,Eléctricos puros,M1,3180.0,20.3,300.0,591.0,106.0,20.1,24.1,0.0,0.0
100,Audi Q8 e-tron Sportback 55 quattro 300 kW Advanced/ S line MY24,Eléctricos puros,M1,3180.0,20.3,300.0,591.0,106.0,20.1,24.1,0.0,0.0
101,Audi RS e-tron GT RS e-tron GT 440 kW (598 CV) RS MY23,Eléctricos puros,M1,2860.0,20.3,440.0,486.0,86.0,19.8,21.1,0.0,0.0
102,Audi RS e-tron GT RS e-tron GT 440 kW (598 CV) RS MY24,Eléctricos puros,M1,2860.0,20.3,440.0,495.0,86.0,19.8,21.1,0.0,0.0
103,Audi RS e-tron GT RS e-tron GT 440 KW RS e-tron GT MY22,Eléctricos puros,M1,2860.0,20.8,440.0,468.0,85.0,0.0,0.0,0.0,0.0
104,BMW 225e xDrive Active tourer (desde prod 07/2022) 21EA,Híbridos enchufables,M1,2405.0,17.6,80.0,92.0,14.2,0.6,0.8,14.0,19.0
105,BMW 225e xDrive Active tourer (Desde prod 11/2023) 21EA,Híbridos enchufables,M1,2405.0,17.5,80.0,88.0,14.2,0.8,0.9,19.0,21.0
106,BMW 225xe Active Tourer (Desde prod 07/2020) 6Y31,Híbridos enchufables,M1,2180.0,13.5,65.0,53.0,60.0,1.7,1.9,38.0,42.0
107,BMW 225xe Active Tourer (Desde prod 11/2019) 6Y31,Híbridos enchufables,M1,2180.0,13.5,65.0,53.0,34.0,1.7,2.0,38.0,45.0
108,BMW 230e xDrive Active Tourer (desde prod 07/2022) 51BX,Híbridos enchufables,M1,2420.0,17.7,130.0,93.0,14.2,0.6,0.8,14.0,18.0
109,BMW 230e xDrive Active Tourer (Desde prod 11/2023) 51BX,Híbridos enchufables,M1,2420.0,17.6,130.0,88.0,14.2,0.8,0.9,19.0,21.0
110,BMW 320e Berlina (Desde prod 03/2021) 5Y91,Híbridos enchufables,M1,1840.0,20.5,83.0,64.0,12.0,1.3,1.8,29.0,41.0
111,BMW 320e Berlina (Desde prod 04/2024) 18FS,Híbridos enchufables,M1,2290.0,21.3,80.0,62.0,10.5,1.3,1.8,29.0,40.0
112,BMW 320e Berlina (desde prod 07/2022) 18FS,Híbridos enchufables,M1,2290.0,20.0,80.0,62.0,10.5,1.3,1.8,29.0,40.0
113,BMW 320e Berlina (Desde prod 12/2023) 18FS,Híbridos enchufables,M1,2290.0,20.0,80.0,62.0,10.5,1.3,1.8,29.0,40.0
